feature,importance
ping_loss_pct__rollstd3,0.0
ping_reply_count__rollmean3,0.0
ping_reply_count__rollmean5,0.0
ping_reply_count__rollstd3,0.0
clab_srte4_r3__eth1__tx_mbps__rollmean5,0.0
clab_srte4_r2__eth2__is_hot_link__rollstd5,0.0
clab_srte4_r2__eth2__is_hot_link__rollmean10,0.0
clab_srte4_r2__eth2__is_hot_link__rollstd10,0.0
clab_srte4_r2__eth2__util_pct__rollstd10,0.0
clab_srte4_r2__eth2__is_hot_link__rollmean3,0.0
clab_srte4_r2__eth2__is_hot_link__rollstd3,0.0
clab_srte4_r2__eth2__is_hot_link__rollmean5,0.0
clab_srte4_r2__eth2__util_pct__rollmean10,0.0
clab_srte4_r2__eth2__util_pct__rollstd5,0.0
clab_srte4_r2__eth2__util_pct__rollmean5,0.0
clab_srte4_r2__eth2__util_pct__rollstd3,0.0
clab_srte4_r2__eth1__is_hot_link__rollstd10,0.0
clab_srte4_r2__eth2__tx_mbps__rollmean5,0.0
clab_srte4_r3__eth1__util_pct__rollmean5,0.0
clab_srte4_r3__eth1__util_pct__rollmean3,0.0
clab_srte4_r3__eth1__is_hot_link__rollstd3,0.0
clab_srte4_r3__eth1__is_hot_link__rollmean3,0.0
clab_srte4_r3__eth1__util_pct__rollstd10,0.0
clab_srte4_r3__eth1__util_pct__rollmean10,0.0
clab_srte4_r1__eth1__is_hot_link__lag1,0.0
clab_srte4_r3__eth1__is_hot_link__rollmean10,0.0
clab_srte4_r3__eth1__is_hot_link__rollstd10,0.0
clab_srte4_r3__eth1__util_pct__rollstd3,0.0
